hgnc_symbol	class	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	entrez_gene_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MELK	N/A	CAMK	CAMKL	MELK	MELK	MELK	MELK	MELK	9833	maternal embryonic leucine zipper kinase	MELK	HPK38	KIAA0175	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	OTTHUMP00000046113	pEg3 kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MGC42105	N/A	CAMK	CAMKL	NIM1	N/A	N/A	N/A	N/A	167359	N/A	NIM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	hypothetical protein LOC167359	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NUAK1	N/A	CAMK	CAMKL	NuaK	NuaK	NuaK1	Not found by Ethan	NUAK1	9891	"NUAK family, SNF1-like kinase, 1"	NuaK1	ARK5	KIAA0537	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	AMP-activated protein kinase family member 5	AMPK-related protein kinase 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NUAK2	N/A	CAMK	CAMKL	NuaK	NuaK	NuaK2	Not found by Ethan	NUAK2	81788	"NUAK family, SNF1-like kinase, 2"	NuaK2	DKFZP434J037	DKFZp686F01113	FLJ90349	SNARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SNF1/AMP activated protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PASK	N/A	CAMK	CAMKL	PASK	PASK	PASK	Not found by Ethan	PASK	23178	PAS domain containing serine/threonine kinase	PASK	DKFZP434O051	DKFZp686P2031	KIAA0135	PASKIN	STK37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PAS-serine/threonine kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KIAA0999	N/A	CAMK	CAMKL	QIK	QIK	N/A	N/A	N/A	23387	N/A	QSK	FLJ12240	L19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SNF1LK	N/A	CAMK	CAMKL	QIK	QIK	N/A	N/A	N/A	150094	SNF1-like kinase	SIK	MSK	SIK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	myocardial SNF1-like kinase	serine/threonine protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SNF1LK2	N/A	CAMK	CAMKL	QIK	QIK	N/A	N/A	N/A	23235	SNF1-like kinase 2	QIK	DKFZp434K1115	KIAA0781	LOH11CR1I	QIK	SIK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	salt-inducible kinase 2	salt-inducible serine/threonine kinase 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SNRK	N/A	CAMK	CAMKL	SNRK	N/A	N/A	Not found by Jake	SNRK	54861	SNF related kinase	SNRK	DKFZp779A1866	FLJ20224	HSNFRK	KIAA0096	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SNF-1 related kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMKV	N/A	CAMK	CAMK-Unique	N/A	CAMK	N/A	Not found by Ethan	Not found	79012	CaM kinase-like vesicle-associated	VACAMKL	1G5	MGC8407	VACAMKL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	vesicle-associated calmodulin-binding protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STK33	N/A	CAMK	CAMK-Unique	N/A	N/A	STK33	Not found by Jake	STK33	65975	serine/threonine kinase 33	STK33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMK-Unique	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CASK	N/A	CAMK	CASK	N/A	CAMK	CASK	CASK	Not found	8573	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	CASK	LIN2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMGUK protein	calcium/calmodulin-dependent serine protein kinase membrane-associated guanylate kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTK7	N/A	TK	CCK4	N/A	N/A	CCK4/PTK7	Not found by Jake	Not found	5754	PTK7 protein tyrosine kinase 7	CCK4	CCK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	OTTHUMP00000039809	colon carcinoma kinase-4	protein-tyrosine kinase PTK7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDC7	N/A	Other	CDC7	N/A	Not Found By Ethan	CDC7	CDC7	CDC7	8317	cell division cycle 7 homolog (S. cerevisiae)	CDC7	CDC7L1	HsCDC7	Hsk1	MGC117361	MGC126237	MGC126238	huCDC7	N/A	N/A	N/A	N/A	N/A	N/A	"CDC7 (cell division cycle 7, S. cerevisiae, homolog)-like 1"	CDC7 cell division cycle 7	cell division cycle 7-like protein 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCRK	N/A	CMGC	CDK	CCRK	N/A	N/A	N/A	N/A	23552	cell cycle related kinase	CCRK	CDCH	p42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAK-kinase p42	CDK-activating kinase p42	cyclin-dependent protein kinase H	cyclin-kinase-activating kinase p42	N/A	N/A	N/A	N/A	N/A	N/A
CDC2	N/A	CMGC	CDK	CDC2	N/A	CDC2/CDK1	N/A	N/A	983	"cell division cycle 2, G1 to S and G2 to M"	CDC2	CDC28A	CDK1	DKFZp686L20222	MGC111195	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell cycle controller CDC2	cell division control protein 2 homolog	cell division cycle 2 protein	cyclin-dependent kinase 1	p34 protein kinase	N/A	N/A	N/A	N/A	N/A
CDK2	N/A	CMGC	CDK	CDC2	CDK	CDK2	CDK2	CDK2	1017	cyclin-dependent kinase 2	CDK2	p33(CDK2)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cdc2-related protein kinase	cell devision kinase 2	p33 protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK3	N/A	CMGC	CDK	CDC2	CDK	CDK3	CDK3	CDK3	1018	cyclin-dependent kinase 3	CDK3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK10	N/A	CMGC	CDK	CDK10	CDK	CDK10	Not found by Ethan	Not found	8558	cyclin-dependent kinase (CDC2-like) 10	CDK10	PISSLRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related protein kinase	cell division protein kinase 10	cyclin-dependent kinase 10	cyclin-dependent kinase related protein	serine/threonine protein kinase PISSLRE	N/A	N/A	N/A	N/A	N/A
CDK4	N/A	CMGC	CDK	CDK4	CDK	CDK4	CDK4	CDK4	1019	cyclin-dependent kinase 4	CDK4	CMM3	MGC14458	PSK-J3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell division kinase 4	"melanoma cutaneous malignant, 3"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK6	N/A	CMGC	CDK	CDK4	CDK	CDK6	CDK6	CDK6	1021	cyclin-dependent kinase 6	CDK6	MGC59692	PLSTIRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell division protein kinase 6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CMGC	CDK	CDK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5	N/A	CMGC	CDK	CDK5	CDK	CDK5	CDK5	CDK5	1020	cyclin-dependent kinase 5	CDK5	PSSALRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein kinase CDK5 splicing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CMGC	CDK	CDK5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK7	N/A	CMGC	CDK	CDK7	CDK	CDK7	CDK7	CDK7	1022	"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"	CDK7	CAK1	CDKN7	STK1	p39MO15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	39 KDa protein kinase	Cdk-activating kinase	cell division protein kinase 7	cyclin-dependent kinase 7	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)	homolog of Xenopus MO15 Cdk-activating kinase	kinase subunit of CAK	serine/threonine kinase stk1	serine/threonine protein kinase 1	serine/threonine protein kinase MO15
N/A	N/A	CMGC	CDK	CDK7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDC2L6	N/A	CMGC	CDK	CDK8	N/A	CDK11	N/A	N/A	23097	cell division cycle 2-like 6 (CDK8-like)	CDK11	CDK11	KIAA1028	bA346C16.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDK8-like cyclin-dependent kinase	OTTHUMP00000040460	cyclin-dependent kinase (CDC2-like) 11	death-preventing kinase	N/A	N/A	N/A	N/A	N/A	N/A
CDK8	N/A	CMGC	CDK	CDK8	CDK	CDK8	CDK8	CDK8	1024	cyclin-dependent kinase 8	CDK8	K35	MGC126074	MGC126075	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDK8 protein kinase	cell division protein kinase 8	protein kinase K35	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CMGC	CDK	CDK8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK9	N/A	CMGC	CDK	CDK9	CDK	CDK9	CDK9	CDK9	1025	cyclin-dependent kinase 9 (CDC2-related kinase)	CDK9	C-2k	CDC2L4	PITALRE	TAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase	cell division protein kinase 9	cyclin-dependent kinase 9	serine/threonine protein kinase PITALRE	N/A	N/A	N/A	N/A	N/A	N/A
CDC2L5	N/A	CMGC	CDK	CRK7	N/A	N/A	N/A	N/A	8621	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CHED	CDC2L	CHED	FLJ35215	KIAA1791	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related protein kinase 5	cell division cycle 2-like 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CRKRS	N/A	CMGC	CDK	CRK7	N/A	N/A	N/A	N/A	51755	"Cdc2-related kinase, arginine/serine-rich"	CRK7	CRK7	CRKR	KIAA0904	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2 related protein kinase 7	CDC2-related protein kinase 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCTK1	N/A	CMGC	CDK	PCTAIRE	N/A	N/A	N/A	N/A	5127	PCTAIRE protein kinase 1	PCTAIRE1	FLJ16665	PCTAIRE	PCTAIRE1	PCTGAIRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine-protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCTK2	N/A	CMGC	CDK	PCTAIRE	N/A	PCTAIRE2	N/A	N/A	5128	PCTAIRE protein kinase 2	PCTAIRE2	PCTAIRE2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein kinase cdc2-related PCTAIRE-2	serine/threonine-protein kinase PCTAIRE-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCTK3	N/A	CMGC	CDK	PCTAIRE	N/A	N/A	N/A	N/A	5129	PCTAIRE protein kinase 3	PCTAIRE3	PCTAIRE	PCTAIRE3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALS2CR7	N/A	CMGC	CDK	PFTAIRE	N/A	PFTAIRE2	N/A	N/A	65061	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 7"	PFTAIRE2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PFTK1	N/A	CMGC	CDK	PFTAIRE	N/A	PFTAIRE1		N/A	5218	PFTAIRE protein kinase 1	PFTAIRE1	KIAA0834	PFTAIRE1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDC2L2	N/A	CMGC	CDK	PITSLRE	N/A	N/A	N/A	N/A	985	cell division cycle 2-like 2 (PITSLRE proteins)	PITSLRE	CDC2L3	CDK11-p110	CDK11-p46	CDK11-p58	MGC131975	PITSLRE	p58GTA	N/A	N/A	N/A	N/A	N/A	N/A	PITSLRE B	PITSLRE protein kinase beta	PITSLRE serine/threonine-protein kinase CDC2L2	cell division cycle 2-like 2	cell division cycle 2-like protein kinase 2	galactosyltransferase-associated protein kinase p58/GTA	N/A	N/A	N/A	N/A
CDKL1	N/A	CMGC	CDKL	N/A	Not Found By Ethan	CDKL1	Not found by Ethan	Not found	8814	cyclin-dependent kinase-like 1 (CDC2-related kinase)	CDKL1	KKIALRE	p42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase 1	cyclin-dependent kinase-like 1	serine/threonine protein kinase KKIALRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDKL2	N/A	CMGC	CDKL	N/A	Not Found By Ethan	CDKL2	Not found by Ethan	Not found	8999	cyclin-dependent kinase-like 2 (CDC2-related kinase)	CDKL2	KKIAMRE	P56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase	cyclin-dependent kinase-like 2	p56 KKIAMRE protein kinase	serine/threonine protein kinase KKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A
CDKL3	N/A	CMGC	CDKL	N/A	Not Found By Ethan	CDKL3	Not found by Ethan	CDKL3	51265	cyclin-dependent kinase-like 3	CDKL3	NKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine-threonine protein kinase NKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDKL4	N/A	CMGC	CDKL	N/A	Not Found By Ethan	N/A	Not found by Ethan	Not found	344387	cyclin-dependent kinase-like 4	CDKL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDKL5	N/A	CMGC	CDKL	N/A	Not Found By Ethan	CDKL5	Not found by Ethan	CDKL5	6792	cyclin-dependent kinase-like 5	CDKL5	ISSX	STK9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine kinase 9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1A1	N/A	CK1	CK1	CK1-A	CK1	CK1[alpha]	CK1A/CSNK1A1	CSNK1A1	1452	"casein kinase 1, alpha 1"	CK1a	CK1	HLCDGP1	PRO2975	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	down-regulated in lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1A1L	N/A	CK1	CK1	CK1-A	CK1	N/A	Not found by Ethan	CSNK1A1L	122011	"casein kinase 1, alpha 1-like"	CK1a2	MGC33182	RP11-532O21.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	casein kinase I alpha S-like	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CK1	CK1	CK1-A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CK1	CK1	CK1-A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CK1	CK1	CK1-A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1D	N/A	CK1	CK1	CK1-D	CK1	CK1[delta]	CK1D/CSNK1D	CSNK1D	1453	"casein kinase 1, delta"	CK1d	HCKID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1E	N/A	CK1	CK1	CK1-D	CK1	CK1[epsilon]	CK1E/CSNK1E	CSNK1E	1454	"casein kinase 1, epsilon"	CK1e	HCKIE	MGC10398	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CKI-epsilon	OTTHUMP00000063258	OTTHUMP00000063263	casein kinase 1 epsilon	casein kinase I epsilon	N/A	N/A	N/A	N/A	N/A
CSNK1G1	N/A	CK1	CK1	CK1-G	CK1	N/A	CK1G1/CSNK1G1	CSNK1G1	53944	"casein kinase 1, gamma 1"	CK1g1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1G2	N/A	CK1	CK1	CK1-G	CK1	CK1[gamma]2	Not found by Ethan	CSNK1G2	1455	"casein kinase 1, gamma 2"	CK1g2	CK1g2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1G3	N/A	CK1	CK1	CK1-G	CK1	CK1[gamma]3	Not found by Ethan	CSNK1G3	1456	"casein kinase 1, gamma 3"	CK1g3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CK1	CK1	CK1-G	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK2A1	N/A	CMGC	CK2	N/A	CK2	CK2[alpha]1	CK2A1/CSNK2A1	CSNK2A1	1457	"casein kinase 2, alpha 1 polypeptide"	CK2a1	CK2A1	CKII	CKII alpha	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CK2 catalytic subunit alpha	casein kinase II alpha 1 subunit	casein kinase II alpha subunit	casein kinase II-alpha subunit	protein kinase	protein kinase CK2	N/A	N/A	N/A	N/A
CSNK2A2	N/A	CMGC	CK2	N/A	CK2	CK2[alpha]2	CK2A2/CSNK2A2	CSNK2A2	1459	"casein kinase 2, alpha prime polypeptide"	CK2a2	CK2A2	CSNK2A1	FLJ43934	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CMGC	CK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLK1	N/A	CMGC	CLK	N/A	CLK	CLK1	CLK1	CLK1	1195	CDC-like kinase 1	CLK1	CLK	CLK/STY	STY	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC28/CDC2-like kinase	dual specificity protein kinase CLK1	protein tyrosine kinase STY	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLK2	N/A	CMGC	CLK	N/A	CLK	CLK2	CLK2	CLK2	1196	CDC-like kinase 2	CLK2	MGC61500	hCLK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CLK kinase	dual specificity protein kinase CLK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
