entrez_gene_id	hgnc_id	hgnc_symbol	hgnc_name	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
5563	HGNC:9377	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	CAMK	CAMKL	AMPK	AMPK	AMPK[alpha]2	N/A	PRKAA2	"protein kinase, AMP-activated, alpha 2 catalytic subunit"	AMPKa2	AMPK	AMPK2	PRKAA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"5'-AMP-activated protein kinase, catalytic alpha-2 chain"	AMP-activated protein kinase alpha 2 catalytic subunit	AMPK-alpha-2 chain	N/A	N/A	N/A	N/A	N/A	N/A	N/A
150094	HGNC:11142	SIK1	salt inducible kinase 1	CAMK	CAMKL	QIK	QIK	MSK1	QIK/SIK2	SIK1	SNF1-like kinase	SIK	MSK	SIK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	myocardial SNF1-like kinase	serine/threonine protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23235	HGNC:21680	SIK2	salt inducible kinase 2	CAMK	CAMKL	QIK	QIK	N/A	N/A	SIK2	SNF1-like kinase 2	QIK	DKFZp434K1115	KIAA0781	LOH11CR1I	QIK	SIK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	salt-inducible kinase 2	salt-inducible serine/threonine kinase 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23387	HGNC:29165	SIK3	SIK family kinase 3	CAMK	CAMKL	QIK	N/A	N/A	N/A	Not found	N/A	QSK	FLJ12240	L19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
54861	HGNC:30598	SNRK	SNF related kinase	CAMK	CAMKL	SNRK	N/A	N/A	N/A	SNRK	SNF related kinase	SNRK	DKFZp779A1866	FLJ20224	HSNFRK	KIAA0096	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SNF-1 related kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6794	HGNC:11389	STK11	serine/threonine kinase 11	CAMK	CAMKL	LKB	LKB	Lkb1	N/A	STK11	serine/threonine kinase 11	LKB1	LKB1	PJS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine kinase 11 (Peutz-Jeghers syndrome)	serine/threonine protein kinase 11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8573	HGNC:1497	CASK	calcium/calmodulin dependent serine protein kinase	CAMK	CASK	N/A	CAMK	CASK	CASK	Not found	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	CASK	LIN2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMGUK protein	calcium/calmodulin-dependent serine protein kinase membrane-associated guanylate kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5754	HGNC:9618	PTK7	protein tyrosine kinase 7 (inactive)	TK	CCK4	N/A	PTK7	CCK4/PTK7	N/A	Not found	PTK7 protein tyrosine kinase 7	CCK4	CCK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	OTTHUMP00000039809	colon carcinoma kinase-4	protein-tyrosine kinase PTK7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8317	HGNC:1745	CDC7	cell division cycle 7	Other	CDC7	N/A	N/A	CDC7	CDC7	CDC7	cell division cycle 7 homolog (S. cerevisiae)	CDC7	CDC7L1	HsCDC7	Hsk1	MGC117361	MGC126237	MGC126238	huCDC7	N/A	N/A	N/A	N/A	N/A	N/A	"CDC7 (cell division cycle 7, S. cerevisiae, homolog)-like 1"	CDC7 cell division cycle 7	cell division cycle 7-like protein 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
983	HGNC:1722	CDK1	cyclin dependent kinase 1	CMGC	CDK	CDC2	CDK	CDC2/CDK1	CDK1	CDK1	"cell division cycle 2, G1 to S and G2 to M"	CDC2	CDC28A	CDK1	DKFZp686L20222	MGC111195	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell cycle controller CDC2	cell division control protein 2 homolog	cell division cycle 2 protein	cyclin-dependent kinase 1	p34 protein kinase	N/A	N/A	N/A	N/A	N/A
8558	HGNC:1770	CDK10	cyclin dependent kinase 10	CMGC	CDK	CDK10	CDK	CDK10	N/A	Not found	cyclin-dependent kinase (CDC2-like) 10	CDK10	PISSLRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related protein kinase	cell division protein kinase 10	cyclin-dependent kinase 10	cyclin-dependent kinase related protein	serine/threonine protein kinase PISSLRE	N/A	N/A	N/A	N/A	N/A
51755	HGNC:24224	CDK12	cyclin dependent kinase 12	CMGC	CDK	CRK7	CDK	CRK7	N/A	CDK12	"Cdc2-related kinase, arginine/serine-rich"	CRK7	CRK7	CRKR	KIAA0904	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2 related protein kinase 7	CDC2-related protein kinase 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8621	HGNC:1733	CDK13	cyclin dependent kinase 13	CMGC	CDK	CRK7	CDK	N/A	N/A	Not found	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CHED	CDC2L	CHED	FLJ35215	KIAA1791	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related protein kinase 5	cell division cycle 2-like 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5218	HGNC:8883	CDK14	cyclin dependent kinase 14	CMGC	CDK	PFTAIRE	CDK	PFTAIRE1	CDK14	Not found	PFTAIRE protein kinase 1	PFTAIRE1	KIAA0834	PFTAIRE1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
65061	HGNC:14434	CDK15	cyclin dependent kinase 15	CMGC	CDK	PFTAIRE	CDK	PFTAIRE2	N/A	CDK15	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 7"	PFTAIRE2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5127	HGNC:8749	CDK16	cyclin dependent kinase 16	CMGC	CDK	PCTAIRE	CDK	PCTAIRE1	N/A	CDK16	PCTAIRE protein kinase 1	PCTAIRE1	FLJ16665	PCTAIRE	PCTAIRE1	PCTGAIRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine-protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5128	HGNC:8750	CDK17	cyclin dependent kinase 17	CMGC	CDK	PCTAIRE	CDK	PCTAIRE2	N/A	Not found	PCTAIRE protein kinase 2	PCTAIRE2	PCTAIRE2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein kinase cdc2-related PCTAIRE-2	serine/threonine-protein kinase PCTAIRE-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5129	HGNC:8751	CDK18	cyclin dependent kinase 18	CMGC	CDK	PCTAIRE	CDK	N/A	N/A	CDK18	PCTAIRE protein kinase 3	PCTAIRE3	PCTAIRE	PCTAIRE3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23097	HGNC:19338	CDK19	cyclin dependent kinase 19	CMGC	CDK	CDK8	CDK	N/A	N/A	CDK19	cell division cycle 2-like 6 (CDK8-like)	CDK11	CDK11	KIAA1028	bA346C16.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDK8-like cyclin-dependent kinase	OTTHUMP00000040460	cyclin-dependent kinase (CDC2-like) 11	death-preventing kinase	N/A	N/A	N/A	N/A	N/A	N/A
1017	HGNC:1771	CDK2	cyclin dependent kinase 2	CMGC	CDK	CDC2	CDK	CDK2	CDK2	CDK2	cyclin-dependent kinase 2	CDK2	p33(CDK2)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cdc2-related protein kinase	cell devision kinase 2	p33 protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23552	HGNC:21420	CDK20	cyclin dependent kinase 20	CMGC	CDK	CCRK	CDK	CCRK	N/A	CDK20	cell cycle related kinase	CCRK	CDCH	p42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAK-kinase p42	CDK-activating kinase p42	cyclin-dependent protein kinase H	cyclin-kinase-activating kinase p42	N/A	N/A	N/A	N/A	N/A	N/A
1018	HGNC:1772	CDK3	cyclin dependent kinase 3	CMGC	CDK	CDC2	CDK	CDK3	CDK3	CDK3	cyclin-dependent kinase 3	CDK3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1019	HGNC:1773	CDK4	cyclin dependent kinase 4	CMGC	CDK	CDK4	CDK	CDK4	CDK4	CDK4	cyclin-dependent kinase 4	CDK4	CMM3	MGC14458	PSK-J3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell division kinase 4	"melanoma cutaneous malignant, 3"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1020	HGNC:1774	CDK5	cyclin dependent kinase 5	CMGC	CDK	CDK5	CDK	CDK5	CDK5	CDK5	cyclin-dependent kinase 5	CDK5	PSSALRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein kinase CDK5 splicing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1021	HGNC:1777	CDK6	cyclin dependent kinase 6	CMGC	CDK	CDK4	CDK	CDK6	CDK6	CDK6	cyclin-dependent kinase 6	CDK6	MGC59692	PLSTIRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell division protein kinase 6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1022	HGNC:1778	CDK7	cyclin dependent kinase 7	CMGC	CDK	CDK7	CDK	CDK7	CDK7	CDK7	"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"	CDK7	CAK1	CDKN7	STK1	p39MO15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	39 KDa protein kinase	Cdk-activating kinase	cell division protein kinase 7	cyclin-dependent kinase 7	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)	homolog of Xenopus MO15 Cdk-activating kinase	kinase subunit of CAK	serine/threonine kinase stk1	serine/threonine protein kinase 1	serine/threonine protein kinase MO15
1024	HGNC:1779	CDK8	cyclin dependent kinase 8	CMGC	CDK	CDK8	CDK	CDK8	CDK8	CDK8	cyclin-dependent kinase 8	CDK8	K35	MGC126074	MGC126075	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDK8 protein kinase	cell division protein kinase 8	protein kinase K35	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1025	HGNC:1780	CDK9	cyclin dependent kinase 9	CMGC	CDK	CDK9	CDK	CDK9	CDK9	CDK9	cyclin-dependent kinase 9 (CDC2-related kinase)	CDK9	C-2k	CDC2L4	PITALRE	TAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase	cell division protein kinase 9	cyclin-dependent kinase 9	serine/threonine protein kinase PITALRE	N/A	N/A	N/A	N/A	N/A	N/A
728642	HGNC:1730	CDK11A	cyclin dependent kinase 11A	CMGC	CDK	CDK11	N/A	N/A	N/A	N/A	cell division cycle 2-like 2 (PITSLRE proteins)	PITSLRE	CDC2L3	CDK11-p110	CDK11-p46	CDK11-p58	MGC131975	PITSLRE	p58GTA	CDC2L2	N/A	N/A	N/A	N/A	N/A	PITSLRE B	PITSLRE protein kinase beta	PITSLRE serine/threonine-protein kinase CDC2L2	cell division cycle 2-like 2	cell division cycle 2-like protein kinase 2	galactosyltransferase-associated protein kinase p58/GTA	N/A	N/A	N/A	N/A
8814	HGNC:1781	CDKL1	cyclin dependent kinase like 1	CMGC	CDKL	N/A	N/A	CDKL1	N/A	Not found	cyclin-dependent kinase-like 1 (CDC2-related kinase)	CDKL1	KKIALRE	p42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase 1	cyclin-dependent kinase-like 1	serine/threonine protein kinase KKIALRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8999	HGNC:1782	CDKL2	cyclin dependent kinase like 2	CMGC	CDKL	N/A	N/A	CDKL2	N/A	Not found	cyclin-dependent kinase-like 2 (CDC2-related kinase)	CDKL2	KKIAMRE	P56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC2-related kinase	cyclin-dependent kinase-like 2	p56 KKIAMRE protein kinase	serine/threonine protein kinase KKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A
51265	HGNC:15483	CDKL3	cyclin dependent kinase like 3	CMGC	CDKL	N/A	N/A	CDKL3	N/A	CDKL3	cyclin-dependent kinase-like 3	CDKL3	NKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine-threonine protein kinase NKIAMRE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
344387	HGNC:19287	CDKL4	cyclin dependent kinase like 4	CMGC	CDKL	N/A	N/A	N/A	N/A	Not found	cyclin-dependent kinase-like 4	CDKL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6792	HGNC:11411	CDKL5	cyclin dependent kinase like 5	CMGC	CDKL	N/A	N/A	CDKL5	N/A	CDKL5	cyclin-dependent kinase-like 5	CDKL5	ISSX	STK9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine kinase 9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1452	HGNC:2451	CSNK1A1	casein kinase 1 alpha 1	CK1	CK1	CK1-A	CK1	CK1[alpha]	CK1A/CSNK1A1	CSNK1A1	"casein kinase 1, alpha 1"	CK1a	CK1	HLCDGP1	PRO2975	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	down-regulated in lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
122011	HGNC:20289	CSNK1A1L	casein kinase 1 alpha 1 like	CK1	CK1	CK1-A	CK1	N/A	N/A	CSNK1A1L	"casein kinase 1, alpha 1-like"	CK1a2	MGC33182	RP11-532O21.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	casein kinase I alpha S-like	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1453	HGNC:2452	CSNK1D	casein kinase 1 delta	CK1	CK1	CK1-D	CK1	CK1[delta]	CK1D/CSNK1D	CSNK1D	"casein kinase 1, delta"	CK1d	HCKID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1454	HGNC:2453	CSNK1E	casein kinase 1 epsilon	CK1	CK1	CK1-D	CK1	CK1[epsilon]	CK1E/CSNK1E	CSNK1E	"casein kinase 1, epsilon"	CK1e	HCKIE	MGC10398	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CKI-epsilon	OTTHUMP00000063258	OTTHUMP00000063263	casein kinase 1 epsilon	casein kinase I epsilon	N/A	N/A	N/A	N/A	N/A
53944	HGNC:2454	CSNK1G1	casein kinase 1 gamma 1	CK1	CK1	CK1-G	CK1	N/A	CK1G1/CSNK1G1	CSNK1G1	"casein kinase 1, gamma 1"	CK1g1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1455	HGNC:2455	CSNK1G2	casein kinase 1 gamma 2	CK1	CK1	CK1-G	CK1	CK1[gamma]2	N/A	CSNK1G2	"casein kinase 1, gamma 2"	CK1g2	CK1g2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1456	HGNC:2456	CSNK1G3	casein kinase 1 gamma 3	CK1	CK1	CK1-G	CK1	CK1[gamma]3	N/A	CSNK1G3	"casein kinase 1, gamma 3"	CK1g3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1457	HGNC:2457	CSNK2A1	casein kinase 2 alpha 1	CMGC	CK2	N/A	CK2	CK2[alpha]1	CK2A1/CSNK2A1	CSNK2A1	"casein kinase 2, alpha 1 polypeptide"	CK2a1	CK2A1	CKII	CKII alpha	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CK2 catalytic subunit alpha	casein kinase II alpha 1 subunit	casein kinase II alpha subunit	casein kinase II-alpha subunit	protein kinase	protein kinase CK2	N/A	N/A	N/A	N/A
1459	HGNC:2459	CSNK2A2	casein kinase 2 alpha 2	CMGC	CK2	N/A	CK2	CK2[alpha]2	CK2A2/CSNK2A2	CSNK2A2	"casein kinase 2, alpha prime polypeptide"	CK2a2	CK2A2	CSNK2A1	FLJ43934	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1195	HGNC:2068	CLK1	CDC like kinase 1	CMGC	CLK	N/A	CLK	CLK1	CLK1	CLK1	CDC-like kinase 1	CLK1	CLK	CLK/STY	STY	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC28/CDC2-like kinase	dual specificity protein kinase CLK1	protein tyrosine kinase STY	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1196	HGNC:2069	CLK2	CDC like kinase 2	CMGC	CLK	N/A	CLK	CLK2	CLK2	CLK2	CDC-like kinase 2	CLK2	MGC61500	hCLK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CLK kinase	dual specificity protein kinase CLK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1198	HGNC:2071	CLK3	CDC like kinase 3	CMGC	CLK	N/A	CLK	CLK3	N/A	CLK3	CDC-like kinase 3	CLK3	FLJ22858	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
57396	HGNC:13659	CLK4	CDC like kinase 4	CMGC	CLK	N/A	CLK	CLK4	N/A	CLK4	CDC-like kinase 4	CLK4	DKFZp686A20267	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	dual specificity protein kinase CLK4	protein serine threonine kinase Clk4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1445	HGNC:2444	CSK	C-terminal Src kinase	TK	Csk	N/A	CSK	CSK	CSK	CSK	c-src tyrosine kinase	CSK	MGC117393	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4145	HGNC:6906	MATK	megakaryocyte-associated tyrosine kinase	TK	Csk	N/A	CSK	CTK	N/A	MATK	megakaryocyte-associated tyrosine kinase	CTK	CHK	CTK	DKFZp434N1212	HHYLTK	HYL	HYLTK	Lsk	MGC1708	MGC2101	N/A	N/A	N/A	N/A	Csk-homologous kinase	Csk-type protein tyrosine kinase	HYL tyrosine kinase	hematopoietic consensus tyrosine-lacking kinase	hydroxyaryl-protein kinase	leukocyte carboxyl-terminal src kinase related gene	protein kinase HYL	tyrosine kinase MATK	tyrosine-protein kinase CTK	tyrosylprotein kinase
1612	HGNC:2674	DAPK1	death associated protein kinase 1	CAMK	DAPK	DAPK	DAPK	DAPK1	DAPK1	DAPK1	death-associated protein kinase 1	DAPK1	DAPK	DKFZp781I035	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23604	HGNC:2675	DAPK2	death associated protein kinase 2	CAMK	DAPK	DAPK	DAPK	DAPK2	N/A	Not found	death-associated protein kinase 2	DAPK2	DRP-1	MGC119312	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1613	HGNC:2676	DAPK3	death associated protein kinase 3	CAMK	DAPK	DAPK	DAPK	DAPK3	DAPK3	DAPK3	death-associated protein kinase 3	DAPK3	FLJ36473	ZIP	ZIPK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ZIP kinase isoform	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9263	HGNC:11395	STK17A	serine/threonine kinase 17a	CAMK	DAPK	DRAK	DAPK	DRAK1	N/A	STK17A	serine/threonine kinase 17a (apoptosis-inducing)	DRAK1	DRAK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	DAP kinase-related apoptosis-inducing protein kinase 1	death-associated protein kinase-related 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9262	HGNC:11396	STK17B	serine/threonine kinase 17b	CAMK	DAPK	DRAK	DAPK	DRAK2	N/A	Not found	serine/threonine kinase 17b (apoptosis-inducing)	DRAK2	DRAK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	death-associated protein kinase-related 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9201	HGNC:2700	DCLK1	doublecortin like kinase 1	CAMK	DCAMKL	N/A	N/A	DCAMKL1	N/A	DCLK1	doublecortin and CaM kinase-like 1	DCLK1	DCLK	KIAA0369	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	doublecortin-like kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
166614	HGNC:19002	DCLK2	doublecortin like kinase 2	CAMK	DCAMKL	N/A	N/A	N/A	N/A	Not found	doublecortin and CaM kinase-like 2	DCLK2	DCDC3	DCK2	DKFZp761I032	MGC45428	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
85443	HGNC:19005	DCLK3	doublecortin like kinase 3	CAMK	DCAMKL	N/A	N/A	N/A	N/A	Not found	doublecortin and CaM kinase-like 3	DCLK3	KIAA1765	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
780	HGNC:2730	DDR1	discoidin domain receptor tyrosine kinase 1	TK	DDR	N/A	DDR	DDR1	N/A	DDR1	"discoidin domain receptor family, member 1"	DDR1	CAK	CD167	DDR	EDDR1	MCK10	NEP	NTRK4	PTK3	PTK3A	RTK6	TRKE	N/A	N/A	PTK3A protein tyrosine kinase 3A	cell adhesion kinase	discoidin domain receptor DDR1d	discoidin receptor tyrosine kinase	epithelial discoidin domain receptor 1	mammarian carcinoma kinase 10	neuroepithelial tyrosine kinase	"neurotrophic tyrosine kinase, receptor, type 4"	N/A	N/A
4921	HGNC:2731	DDR2	discoidin domain receptor tyrosine kinase 2	TK	DDR	N/A	DDR	DDR2	N/A	DDR2	"discoidin domain receptor family, member 2"	DDR2	MIG20a	NTRKR3	TKT	TYRO10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	cell migration-inducing protein 20	"discoidin domain receptor family, member 2 precursor"	hydroxyaryl-protein kinase	migration-inducing gene 16 protein	neurotrophic tyrosine kinase receptor related 3	tyrosylprotein kinase	N/A	N/A	N/A	N/A
8476	HGNC:1737	CDC42BPA	CDC42 binding protein kinase alpha	AGC	DMPK	GEK	DMPK	MRCK[alpha]	N/A	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	MRCKa	DKFZp686L1738	DKFZp686P1738	FLJ23347	KIAA0451	MRCK	MRCKA	PK428	N/A	N/A	N/A	N/A	N/A	N/A	CDC42 binidng protein kinase beta	CDC42-binding protein kinase alpha	CDC42-binding protein kinase alpha (DMPK-like)	myotonic dystrophy kinase-related CDC42-binding protein kinase alpha	ser-thr protein kinase PK428	ser-thr protein kinase related to the myotonic dystrophy protein kinase	N/A	N/A	N/A	N/A
9578	HGNC:1738	CDC42BPB	CDC42 binding protein kinase beta	AGC	DMPK	GEK	DMPK	MRCK[beta]	N/A	Not found	CDC42 binding protein kinase beta (DMPK-like)	MRCKb	KIAA1124	MRCKB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CDC42-binding protein kinase beta	CDC42-binding protein kinase beta (DMPK-like)	myotonic dystrophy protein kinase-like beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A
55561	HGNC:29829	CDC42BPG	CDC42 binding protein kinase gamma	AGC	DMPK	GEK	DMPK	N/A	N/A	Not found	CDC42 binding protein kinase gamma (DMPK-like)	DMPK2	DMPK2	HSMDPKIN	KAPPA-200	MRCKgamma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	myotonic dystrophy protein kinase like protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
11113	HGNC:1985	CIT	citron rho-interacting serine/threonine kinase	AGC	DMPK	CRIK	DMPK	N/A	N/A	Not found	"citron (rho-interacting, serine/threonine kinase 21)"	CRIK	CRIK	KIAA0949	STK21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	citron	"rho-interacting, serine/threonine kinase 21"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1760	HGNC:2933	DMPK	DM1 protein kinase	AGC	DMPK	GEK	DMPK	DMPK	N/A	DMPK	dystrophia myotonica-protein kinase	DMPK1	DM	DM1	DM1PK	DMK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	dystrophia myotonica 1	myotonic dystrophy protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6093	HGNC:10251	ROCK1	Rho associated coiled-coil containing protein kinase 1	AGC	DMPK	ROCK	DMPK	ROCK1	ROCK1	ROCK1	"Rho-associated, coiled-coil containing protein kinase 1"	ROCK1	MGC131603	MGC43611	P160ROCK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	p160-ROCK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
